"Group","M171T3","M172T4","M143T4","M250T4","M274T7","M191T4","M97T6","M144T4","M171T4","M199T4","M73T4","M249T4","M234T3","M133T4","M219T9","M200T4","M71T2","M137T4","M117T2","M100T2","M92T3","M91T4","M378T32","M115T3","M145T4","M197T4","M135T2","M105T4","M94T4","M85T2","M125T2","M239T4","M122T4","M157T3","M192T4","M165T2","M170T4","M141T3","M121T4","M124T4","M221T5","M212T4","M173T4","M83T4","M185T3","M227T2","M259T4","M205T4","M155T4","M193T5","M206T3","M213T105","M149T3","M146T4","M153T124","M93T3","M88T4","M235T4","M151T3","M138T4","M175T4","M75T4","M90T4","M130T3","M194T4","M129T2","M167T4","M169T4","M168T5","M116T4","M233T4","M164T4","M160T4","M142T68","M102T4","M225T107","M158T4","M103T4","M148T3","M101T4","M99T6","M292T48","M81T4","M118T25","M270T107","M147T4","M108T3"
"blank",4,4,4,4,1,4,1,4,4,4,4,4,3,3,0,4,4,4,4,4,2,4,0,4,4,4,4,3,0,4,2,4,4,4,2,4,0,3,4,4,0,4,3,4,4,4,0,4,2,0,0,0,2,3,2,1,4,3,4,4,2,2,3,2,2,4,4,4,1,4,4,4,2,0,4,0,4,4,0,4,1,0,4,0,0,2,2
"blank",4,4,4,4,0,4,2,4,4,4,4,4,2,3,0,4,4,4,4,4,0,4,2,4,4,4,4,2,0,4,1,2,4,4,4,4,0,2,4,2,1,4,2,4,4,4,1,4,4,1,2,0,2,0,1,0,4,0,3,3,2,2,3,0,0,4,2,4,0,4,4,3,1,0,4,0,4,4,0,4,0,2,4,0,0,3,1
"blank",4,4,4,4,1,4,3,4,4,4,4,3,1,4,0,4,3,4,4,4,0,4,0,4,4,4,4,2,1,2,0,3,4,4,3,4,1,3,4,3,2,4,3,4,4,3,2,4,3,0,2,0,2,0,0,1,3,0,3,3,0,1,2,0,1,4,3,4,0,4,4,4,1,3,4,0,4,4,0,4,1,0,3,0,0,0,0
"blank",2435698.82461755,412467.762873037,5084731.85765495,228234.282182123,90413.595299477,1063596.38662519,2180220.84946939,442951.481496436,3778716.91899092,1464771.03219784,334661.171585734,97227.7277375157,0,161793.506523654,15038.3721314231,181492.988225842,133244.669252601,212762.152704032,136920.533863515,97733.3690010653,35941.2503591729,1516091.49696575,159031.750958314,812646.527451942,887610.716731568,154742.16770604,381274.159886867,12465.9295651008,847300.844539452,654484.597514591,154047.959596648,1143926.4519188,334630.778425311,4225482.18482824,74977.4328881728,550247.744847785,118873.334068424,202300.981493445,6880773.31449659,305925.760690989,20796.7187687911,357827.464692311,150735.719200535,163927.372595636,487008.461713453,647974.214395823,37780.2197546898,693993.591965582,325814.547081035,49334.841800908,54892.469013614,214049.449209755,687603.755927837,37333.5972512867,4916.90632947854,9648515.47216628,207745.731315432,1432581.19903867,11344.1729055908,840085.167609769,0,0,0,0,0,664044.206763852,0,715248.927110053,100941.523693034,307719.088940075,2284037.01439541,418900.424539159,159955.897987705,28065.2581971117,51934.2321396982,26920.2608970734,408513.622527526,257857.197170669,121263.707612172,1412254.3966675,396007.917407403,5699.56821468752,1824537.78211382,14575.9591077502,14656.2723157031,138827.802119216,0
"QC",2496153.20841781,406841.528404082,5127642.86274642,228402.375695705,52957.6820714653,1530161.45413639,2426186.72893005,476994.452705616,4582537.19453586,1371825.49990372,281973.559348102,89496.2191201821,0,156511.54921183,13969.2207067017,184268.873012123,123269.571589357,245196.138156492,137706.42357119,102465.74885961,87393.6450157489,1887759.18572969,157708.220908044,2901670.36300791,979679.76221318,198058.557021779,898074.981796651,12461.577016168,1207300.5709876,667658.813115236,330560.820134157,1131994.94722255,561350.944788395,4397607.00162413,0,655503.17677798,113827.081038303,214878.817529306,7357501.64893833,342941.061517319,31553.1288182552,377946.056378011,226439.355243108,144731.281844036,464920.221611005,635024.444157747,29575.3716488684,1166817.65226162,311882.653052882,45964.7156384645,54179.1366112679,199582.199676339,524752.805943848,54905.4170696195,8666.84895116463,17198725.555534,206730.575316153,1537039.56143855,674709.316447279,801317.942622543,0,0,0,0,0,664489.352698366,0,782476.64652007,126795.128364811,278332.150606464,1787121.61299713,467227.176634908,216275.938964278,25121.4398524457,330619.731571823,32086.6585862808,410141.860087558,306582.177477969,117649.63741641,1421070.51127718,399540.052852766,13968.9628002853,2123621.03473788,18448.7825195922,9442.47671267064,221134.945015472,0
"QC",2154612.90116538,374873.284366408,4579685.73686131,195253.885263784,45805.959568556,1388695.5894159,2823221.75500572,401341.566803394,4115375.71571614,1154344.18579486,308133.444687036,14157.2058121606,0,133140.578040577,12081.3582248668,106634.074903856,121556.385992538,164118.908386525,100566.539243762,105962.595435766,23812.106386426,874202.912670432,117942.54451957,566175.075036295,618812.454653006,163550.510558609,840975.167753036,41729.1925335831,1182048.77454767,679066.363970525,259889.693540856,1144551.6968831,619585.568429879,23026.2074648315,0,1054704.69269357,119647.550458085,11151.240788543,9206638.35921875,535612.155054123,23580.4698198407,18598.7497262072,121426.153625532,171202.020797595,312363.299022397,306406.886270282,5651.74237687317,552116.310392666,315215.015244337,39175.7166602443,37339.8100961077,177257.830765755,412415.428855596,727874.152516235,13307.5639460449,9538254.20666183,62294.5195652426,1138911.01014762,605386.845413955,535619.671043613,16668.1850590007,0,0,0,0,494296.661138396,749378.391328668,649832.011524754,138497.175415088,278616.416970225,1229503.50861242,70520.870466807,220055.893474001,29594.4717148438,350458.2357211,21255.593809257,386067.619930019,359346.003388227,13616.6414772316,1984257.73918432,338321.835781613,2858.08379967041,1007170.21560299,112764.376522792,6314.47287405396,263707.933749163,0
"QC",2410519.27023726,430442.064165639,4753562.10231133,200259.291598659,59838.1141035152,983127.127101642,2662159.20834545,412004.412704775,3694535.9234912,1204565.26360211,248564.429545798,90373.3536059099,0,152738.457824452,22432.940998642,158280.677474542,115792.019350716,215820.367378459,103992.648437009,106162.612667624,19710.1547122737,868112.777141408,148312.077669874,2737078.82430576,1043114.59928657,122963.169658889,906608.998880601,19876.2510968549,872148.739652916,665042.229351295,195132.859707155,1234415.5835448,582748.227519277,4697677.94429396,0,945101.155224078,113909.109109528,177253.901835749,309422.252775019,363330.733156928,22290.8678022313,336062.583813031,161709.410485494,171777.84534756,345115.399839557,343267.154359422,10683.8983930429,481223.010304047,338684.877433206,56314.0821570855,22105.5536201177,218463.77793982,468741.020825083,731800.824268745,2091.20791481222,0,98291.3024386333,1213923.05501032,643119.176152306,680486.605261034,0,0,0,0,0,1244262.86228704,0,20465.045274728,35318.3349818515,204649.898259718,1356971.83437039,51484.0537715233,209132.878752024,35628.9229064941,315676.011886048,34588.86225041,418370.475082582,233430.773217834,9822.55153607234,1701106.50461653,322024.709748277,6426.42598198098,0,106738.752546022,11871.0830246582,169699.176229915,0
"QC",242337.180286802,635546.488205006,6816351.16318664,323025.750296165,217971.107466389,2996350.4829925,870532.712185953,582938.943735927,5960231.58666575,1954156.43576498,519808.70655147,350946.452287106,180555.171394666,265612.319900285,3036.78755789965,273848.915905813,231521.794807626,425891.879896552,305600.197902281,259773.399237152,89039.2309599787,2105868.24725053,96983.4657872319,4284004.96297,1185783.35325871,184810.877535869,241991.393046683,94813.161727441,637536.278062433,1658958.43866646,100414.737617202,900918.861613121,639654.389827459,6199610.27510735,0,470451.139069508,107348.05141129,193207.173069484,9537490.44340679,1231735.88657209,29016.4167298391,385380.205716793,157940.185256967,115307.916410641,553634.498531175,770931.258978873,40389.0173710718,1300645.70077578,426462.719686815,25275.825780771,141402.079129824,217223.774766285,516011.326914109,99640.9031050765,8625.63662224702,0,209558.707135193,1156470.15973151,829080.405627464,726213.183415218,0,103858.172055143,0,0,0,764021.154883262,0,570388.150637805,210524.878125942,291608.907096058,1723094.69921445,163482.419728608,250765.109222428,37387.0880751607,361471.587969421,24264.0270124023,136324.996350981,154854.469937874,35734.0099890361,1310748.93646671,352674.995631648,2495.66883307137,0,81215.0506488255,10141.1562366597,184682.341363339,0
"sample1",421836.530255813,620685.535515488,7093586.95573715,340577.806900577,205848.94431531,2494307.09528938,817829.497294332,647676.400598382,6336137.73080711,2247946.2792992,543283.556676026,206808.509049094,258859.269331336,217382.666437325,0,301300.810895512,315447.139855156,627366.801637981,186617.482254046,174877.918451441,168709.750589859,2589196.79175784,89011.4807165682,4540576.39056079,1324123.30380669,293584.796329914,378867.138424572,144425.044138446,897172.418490129,852698.641510436,156418.073396241,258707.977995667,785957.574175942,6787838.66164245,286445.887803073,454577.921200254,46420.1552465518,260030.894733746,11663119.9502115,226744.293146511,25151.292829031,454663.177534421,231560.853753496,154520.394156615,422493.4148532,611609.182157315,145502.425713753,814752.984862798,284693.62469332,35192.3537219816,30081.8191567013,196435.674003372,386209.186016533,80352.0077814726,10872.1443320804,12842159.0245812,197275.666569273,1154260.48331476,1248691.16957092,567749.480499259,121916.80809593,0,72721.6679487356,31743.2250747416,117573.615141152,875656.848784829,948706.855985084,210494.151141421,47026.0930986585,269404.62197133,1853104.82006229,469653.247135367,10863.1272122461,34468.8974750627,94847.9324612392,31744.0754132501,517371.106731622,644793.493675719,93821.3336069746,2736611.74559207,390531.780292429,3943.81934150308,2839310.6099579,87488.5262557223,11135.3366662804,176715.306008497,0
"sample1",468671.57582661,591826.41127523,7272901.90991048,319224.280496495,210255.042434341,2893617.08532455,795304.43700911,623291.139675156,5837955.98486014,2407387.46090939,518279.018981821,270121.432614004,305367.030011979,296264.657683569,0,253150.145489767,238494.528677664,457450.171453318,240437.344901229,198187.842353515,148975.288849581,2329736.4134989,84855.1303892396,4407529.9562029,1187806.18134339,234700.245568446,480135.539445851,193888.067360548,646424.044512053,1161409.77305554,101783.357828554,224822.432703945,686528.530675919,6280235.23290457,245148.442852359,510150.440901546,11065.3261024152,226733.278797967,9992954.63369089,988994.946621727,40314.2148485887,420196.451588822,260412.996236298,92010.9145294596,448429.690074639,535581.336360345,62557.6118546334,800910.459233811,429142.333645365,55508.8086540917,57771.1009659321,20274.0413774414,68019.0147591811,100235.403793123,9055.64410551651,0,188606.144149157,1266528.50265353,1080038.16338732,687420.528310407,15515.1568366809,0,0,0,0,886549.533848016,0,585921.808007889,240600.617319568,291015.029052986,1915881.15059828,317389.58375086,416361.371005874,21580.1419744069,357391.634061374,24684.3797920532,615947.38668623,400304.265652518,41904.6424944697,1666277.64320847,289448.384754613,8513.86228279117,0,11389.5581848023,8739.93541427236,246589.781631979,0
