"Metlin_ID","blankclean1_140226061346","blankclean1_140226063807","blankclean1_140227222715","blankclean1_140227225134","pooled_10","pooled_7","pooled_8","pooled_9","sample1_1","sample1_2","sample1_3","sample1_4","sample2_1","sample2_2","sample2_3","sample2_4","sample3_1","sample3_2","sample3_3","sample3_4"
"M171T3","2435698.82461755","2496153.20841781","2154612.90116538","2410519.27023726","242337.180286802","421836.530255813","468671.57582661","588830.048223434","150953.813893464","166307.520028957","439537.961912497","409393.211287875","493235.038993153","376967.530226953","445011.770402857","282277.180604121","470140.953566279","195065.956328753","757911.911437958","427870.100674442"
"M172T4","412467.762873037","406841.528404082","374873.284366408","430442.064165639","635546.488205006","620685.535515488","591826.41127523","623107.818624468","657235.56556821","620392.65614133","698534.731752275","717745.910015402","746034.742336599","693582.602838908","716916.491372116","609791.323461734","728279.062738343","578458.29820552","587181.503301558","645400.83013172"
"M143T4","5084731.85765495","5127642.86274642","4579685.73686131","4753562.10231133","6816351.16318664","7093586.95573715","7272901.90991048","6734495.62223892","6661097.54856839","7071082.38047756","6595354.78473788","6996187.35118866","7677697.91152566","6876701.03263471","6522221.50947757","6321182.74001791","7770734.98342967","6144231.27194512","6395494.62899135","7319664.96034275"
"M250T4","228234.282182123","228402.375695705","195253.885263784","200259.291598659","323025.750296165","340577.806900577","319224.280496495","353396.181327618","364358.494827484","344334.386587251","299408.407362149","351965.201296654","357416.350025927","336613.428770374","327356.076688349","276016.830198611","347115.017034774","323514.696096622","253689.357882157","352992.85170549"
"M274T7","90413.595299477","52957.6820714653","45805.959568556","59838.1141035152","217971.107466389","205848.94431531","210255.042434341","188889.591963644","196054.730077433","185606.316560955","14762.9989818359","186262.042894044","193782.049147549","207751.79959479","177039.167004831","206932.07322961","176680.669442699","191413.055559326","187843.805066069","39179.8476349189"
"M191T4","1063596.38662519","1530161.45413639","1388695.5894159","983127.127101642","2996350.4829925","2494307.09528938","2893617.08532455","3138750.92123107","2394534.48726385","3045523.95176029","2762155.84288749","3320995.95883094","2775060.42942301","3376754.61255772","2879796.21160342","2783723.58919469","2866176.80952855","2805252.2418957","2857187.05677402","2932701.08923005"
"M97T6","2180220.84946939","2426186.72893005","2823221.75500572","2662159.20834545","870532.712185953","817829.497294332","795304.43700911","1080017.79845225","832265.659534946","836313.354939144","1021334.66767529","782256.207468552","787017.819694742","869797.978582938","1091452.62091162","757595.172803423","742721.286341101","922771.188907541","883879.458271159","782210.476669933"
"M144T4","442951.481496436","476994.452705616","401341.566803394","412004.412704775","582938.943735927","647676.400598382","623291.139675156","569732.767806326","390775.395012527","348287.431626364","642734.393528686","621170.707612973","639079.05074084","564473.29210627","592886.334232797","615225.129622656","651870.134205874","453195.48849879","558364.524104473","709782.269505488"
"M171T4","3778716.91899092","4582537.19453586","4115375.71571614","3694535.9234912","5960231.58666575","6336137.73080711","5837955.98486014","6152492.42802863","6131117.31029831","5870013.98506163","5882488.40671598","6611895.90483128","6846547.39282654","6199034.85945523","5846874.82299665","5744789.79328558","6146296.74769972","5840414.98955137","5761062.52250762","5797450.00151506"
"M199T4","1464771.03219784","1371825.49990372","1154344.18579486","1204565.26360211","1954156.43576498","2247946.2792992","2407387.46090939","2041836.25157067","2362220.47610488","1494445.30650783","2100672.86817954","1691219.85609891","2404218.78069882","2240886.71936394","2342248.46048444","2067125.10925745","2417452.91286968","2088680.76423925","1930294.82781618","2547418.47606185"
"M73T4","334661.171585734","281973.559348102","308133.444687036","248564.429545798","519808.70655147","543283.556676026","518279.018981821","429327.793063274","408793.982952155","441812.10343617","450405.631277432","534090.601392978","603402.024578583","544610.624845896","492016.578203178","524449.515289783","498249.702591507","501396.041603544","473170.665774197","478027.785421519"
"M249T4","97227.7277375157","89496.2191201821","14157.2058121606","90373.3536059099","350946.452287106","206808.509049094","270121.432614004","310424.834567746","229448.960956948","119606.812218485","273470.366860741","256982.765537127","233845.042475924","313177.726731568","288539.911444634","280495.922516069","285584.160497158","246897.883717685","332860.039426039","301476.085834526"
"M234T3","0","0","0","0","180555.171394666","258859.269331336","305367.030011979","313190.014018875","301013.455452378","0","350720.222206016","198851.110725653","199153.995838633","0","0","250440.529171796","0","304203.605336643","0","0"
"M133T4","161793.506523654","156511.54921183","133140.578040577","152738.457824452","265612.319900285","217382.666437325","296264.657683569","274340.118820985","228594.007663685","204228.645394405","198555.617734053","311932.662363787","207691.690096594","296777.17427318","245936.460558771","235167.375472222","244290.773041382","243238.043077353","283562.80459675","272287.511252631"
"M219T9","15038.3721314231","13969.2207067017","12081.3582248668","22432.940998642","3036.78755789965","0","0","0","6345.968228008","0","0","0","0","0","0","0","0","0","0","2168.52637158921"
"M200T4","181492.988225842","184268.873012123","106634.074903856","158280.677474542","273848.915905813","301300.810895512","253150.145489767","227547.679893672","210841.187328005","367278.853925296","424562.339804195","376313.1128256","286383.318476593","284779.371138386","185183.715308575","227604.2792","304505.903169071","247974.531325896","309932.409468269","253922.717491869"
"M71T2","133244.669252601","123269.571589357","121556.385992538","115792.019350716","231521.794807626","315447.139855156","238494.528677664","302502.122540476","240359.671305904","232846.058036644","255977.158857687","242263.506967953","258157.553788209","196022.009315113","252945.694003337","225612.737626389","224595.849798088","269705.729527583","170477.380953675","243615.173934709"
"M137T4","212762.152704032","245196.138156492","164118.908386525","215820.367378459","425891.879896552","627366.801637981","457450.171453318","419576.771200311","609682.604725157","600793.810669997","526722.250385373","587056.81341145","614083.383465862","508740.816163626","544314.338942554","474134.880659304","579877.936749471","466132.202408826","435042.742647521","487965.390707382"
"M117T2","136920.533863515","137706.42357119","100566.539243762","103992.648437009","305600.197902281","186617.482254046","240437.344901229","297972.241904266","182592.882787281","218775.219199587","315709.952584275","187320.825216381","229960.86750904","311740.177474435","230872.086110536","213527.979190278","362052.529639538","198008.380080659","278637.502692743","207999.120492144"
"M100T2","97733.3690010653","102465.74885961","105962.595435766","106162.612667624","259773.399237152","174877.918451441","198187.842353515","264272.72086892","279591.994438627","183417.156767275","206859.034258154","301222.482857262","307182.841124649","179609.690306478","210022.778373683","180461.764981944","216719.095740487","249355.522457115","227861.861794989","179839.182424526"
"M92T3","35941.2503591729","87393.6450157489","23812.106386426","19710.1547122737","89039.2309599787","168709.750589859","148975.288849581","103385.059343204","132029.162516375","181169.676842374","98529.1609849907","100793.721801306","106071.109401617","90567.6952731232","104236.51065945","110065.243525144","100371.065496075","103541.932165681","115970.898599634","89333.5952332297"
"M91T4","1516091.49696575","1887759.18572969","874202.912670432","868112.777141408","2105868.24725053","2589196.79175784","2329736.4134989","2217002.07350457","2590020.25301979","2559094.70389372","2243279.69273713","2546203.18864722","2620302.84871158","2540687.24967133","2338249.94822389","2128413.06089748","2206298.10536913","2165276.17524082","2075611.05014729","2212448.86127524"
"M378T32","159031.750958314","157708.220908044","117942.54451957","148312.077669874","96983.4657872319","89011.4807165682","84855.1303892396","14017.0837224935","90583.2247946314","61123.3851411127","79561.7542073475","73013.6145694992","83357.2491163649","88963.5809331417","33406.5550340773","15046.0227368896","93795.4166202325","68946.9441272318","88206.3041402221","86387.6726990741"
"M115T3","812646.527451942","2901670.36300791","566175.075036295","2737078.82430576","4284004.96297","4540576.39056079","4407529.9562029","4460087.2086622","4523997.79099568","4261530.93672636","4170401.26616588","4774497.73351438","5040891.68308379","4659679.7378703","4353263.19121987","4133963.88356394","4999202.55650194","4159388.31080428","1043639.23474437","4661109.4005951"
"M145T4","887610.716731568","979679.76221318","618812.454653006","1043114.59928657","1185783.35325871","1324123.30380669","1187806.18134339","1275136.84519004","1055550.65095222","1310538.40597534","1184375.94928072","1142431.56120845","1155812.78607738","1123809.94868341","1170744.85874002","1245113.46072781","1241687.06261327","1167445.92740025","1158564.0354023","1169150.96893972"
"M197T4","154742.16770604","198058.557021779","163550.510558609","122963.169658889","184810.877535869","293584.796329914","234700.245568446","248956.821273366","250571.369189895","309636.396572931","256600.117330229","277044.573786069","313084.433975655","268576.13985878","264366.212019857","259471.155811771","209732.475646728","264550.605253564","233996.397203172","256148.646123753"
"M135T2","381274.159886867","898074.981796651","840975.167753036","906608.998880601","241991.393046683","378867.138424572","480135.539445851","249450.408592076","241784.726640627","231932.509743115","255897.115776958","383388.132838803","253370.619109517","345991.574402625","257387.595003174","277024.48110133","265277.650169446","269761.140542506","298865.755458342","248415.117686137"
"M105T4","12465.9295651008","12461.577016168","41729.1925335831","19876.2510968549","94813.161727441","144425.044138446","193888.067360548","314450.421255598","124322.867303906","76383.7337205043","177851.101100942","124510.087558604","179525.333429218","106256.486006563","109888.172643424","141951.752050865","197452.313755193","190566.285248063","223959.868013227","157346.15737772"
"M94T4","847300.844539452","1207300.5709876","1182048.77454767","872148.739652916","637536.278062433","897172.418490129","646424.044512053","639981.922332195","757443.081571988","661940.536956942","658388.932414606","643823.217605129","611321.132947021","628165.342756062","666517.818628825","674260.462905147","732763.496163642","646414.257124393","663412.097657354","645118.232411628"
"M85T2","654484.597514591","667658.813115236","679066.363970525","665042.229351295","1658958.43866646","852698.641510436","1161409.77305554","1699649.54499878","1081692.45063249","1097128.61881315","1875295.11247058","1057974.22598132","1167564.03156869","1666884.82896584","1169409.8480775","1366676.14640909","1161761.02874398","919068.269871215","820195.093191673","1116416.38996196"
"M125T2","154047.959596648","330560.820134157","259889.693540856","195132.859707155","100414.737617202","156418.073396241","101783.357828554","103189.567992006","202500.711441979","131023.923686067","138455.728250214","185244.697034186","113305.114679778","153153.512027865","110562.631710306","114677.391389793","102758.514281191","98435.1491396737","94097.4741181529","101246.317893721"
"M239T4","1143926.4519188","1131994.94722255","1144551.6968831","1234415.5835448","900918.861613121","258707.977995667","224822.432703945","881515.901854253","295393.042682239","147652.755251488","257007.751186008","274319.604428989","872690.075274145","272003.554408836","223916.84424766","967419.960591244","204379.276795374","227101.559240478","873924.739211387","257535.656506238"
"M122T4","334630.778425311","561350.944788395","619585.568429879","582748.227519277","639654.389827459","785957.574175942","686528.530675919","678593.688322488","826112.97218029","747873.985239559","734888.857964549","28632.1352396635","842634.618520368","743662.080960787","545775.524621017","647690.945310487","828339.21169753","687701.587836492","779004.976166404","545432.892730764"
"M157T3","4225482.18482824","4397607.00162413","23026.2074648315","4697677.94429396","6199610.27510735","6787838.66164245","6280235.23290457","6336142.46315488","6680360.14205154","6534060.60109624","6053745.16002384","7084226.69741478","7321826.96235066","6916472.88362947","6223487.12083888","5952236.14665829","6429909.18175804","6110008.72057835","6140773.1852695","7103151.81371312"
"M192T4","74977.4328881728","0","0","0","0","286445.887803073","245148.442852359","270093.748034476","234087.983926627","0","250328.953065602","0","305602.165686137","278712.408131953","252015.437226647","305701.847441584","232783.391094482","0","353726.915990442","300921.173629847"
"M165T2","550247.744847785","655503.17677798","1054704.69269357","945101.155224078","470451.139069508","454577.921200254","510150.440901546","461415.857685615","536295.885562401","480036.955885177","501109.439755346","538828.827069626","531349.266050713","522180.402403955","501093.682055947","597394.297690001","546720.003020982","606618.49256285","552957.613407895","479634.138391356"
